idUser,idItem,rating
2135410,4256,3
2135410,4262,4
2135410,4266,4
2135410,4269,2
2135410,4369,2
2135410,4386,4
2135410,4393,4
2135410,4402,4
2135410,4517,3
2135410,4570,4
2135410,4640,4
2135410,4656,2
2135410,4686,2
2135410,4705,3
2135410,4740,4
2135410,4745,4
2135410,4761,4
2135410,4805,5
2135410,4816,4
2135410,4829,3
2135410,4847,5
2135410,4895,3
2135410,4906,3
2135410,4949,3
2135410,4951,4
2135410,4972,4
2135410,4977,4
2135410,5054,3
2135410,5085,4
2135410,5087,3
2135410,5112,3
2135410,5191,3
2135410,5226,3
2135410,5227,2
2135410,5250,4
2135410,5317,3
2135410,5345,3
2135410,5401,4
2135410,5472,4
2135410,5477,4
2135410,5496,4
2135410,5544,4
2135410,5545,3
2135410,5560,3
2135410,5582,5
2135410,5651,4
2135410,5665,3
2135410,5692,2
2135410,5695,3
2135410,5704,4
2135410,5727,4
2135410,5732,5
2135410,5793,4
2135410,5814,4
2135410,5858,2
2135410,5862,4
2135410,5882,3
2135410,5919,3
2135410,5924,4
2135410,5939,4
2135410,5991,3
2135410,5997,5
2135410,6037,4
2135410,6068,3
2135410,6073,3
2135410,6119,3
2135410,6133,5
2135410,6134,3
2135410,6204,5
2135410,6206,4
2135410,6221,5
2135410,6223,3
2135410,6231,4
2135410,6274,3
2135410,6299,3
2135410,6337,2
2135410,6339,4
2135410,6347,2
2135410,6386,3
2135410,6408,4
2135410,6464,4
2135410,6498,4
2135410,6500,3
2135410,6523,4
2135410,6555,4
2135410,6642,4
2135410,6687,2
2135410,6692,3
2135410,6702,4
2135410,6716,5
2135410,6760,1
2135410,6797,4
2135410,6829,4
2135410,6859,3
2135410,6899,2
2135410,6948,3
2135410,6957,2
2135410,6972,4
2135410,6974,4
2135410,6989,4
2135410,6994,4
2135410,7009,1
2135410,7055,3
2135410,7069,4
2135410,7163,3
2135410,7166,5
2135410,7193,4
2135410,7219,4
2135410,7230,4
2135410,7233,4
2135410,7281,3
2135410,7294,3
2135410,7324,2
2135410,7330,4
2135410,7331,4
2135410,7364,3
2135410,7370,5
2135410,7397,3
2135410,7399,3
2135410,7435,2
2135410,7511,4
2135410,7524,3
2135410,7544,3
2135410,7545,4
2135410,7613,4
2135410,7615,3
2135410,7617,2
2135410,7627,2
2135410,7629,3
2135410,7673,3
2135410,7701,3
2135410,7745,2
2135410,7779,4
2135410,7827,4
2135410,7828,4
2135410,7841,4
2135410,7875,3
2135410,7928,4
2135410,7937,3
2135410,8016,2
2135410,8019,4
2135410,8046,4
2135410,8162,3
2135410,8171,3
2135410,8181,3
2135410,8243,2
2135410,8295,3
2135410,8301,3
2135410,8327,5
2135410,8370,4
2135410,8379,5
2135410,8387,4
2135410,8393,3
2135410,8437,4
2135410,8467,3
2135410,8525,2
2135410,8636,3
2135410,8644,4
2135410,8669,3
2135410,8679,3
2135410,8687,3
2135410,8728,4
2135410,8767,1
2135410,8782,4
2135410,8809,2
2135410,8826,3
2135410,8840,4
